id;rank;review
11;5;"Busqué este hotel, por su situación (al lado de paradas de autobuses, tanto hacia la Alhambra como al Centro de Granada), y por el precio, después de ver otras críticas. No nos defraudó en absoluto. Camas cómodas, aire acondicionado ( que no necesítamos probar) excelente el baño con cabina de ducha y toallas fantásticas. El trato del personal: un 10!!. Te informan de todo, y super-amables ( sobre todo los dos sres.) No hemos usado el servicio de desayuno, así que no puede informar. El precio ha sido lo mejor. Las comunicaciones son excelentes. Lo recomiendo sin dúda.
"
12;5;"¡Hola muy buenas a todos!Tengo muchas cosas que decir de este encantador hotel y todas buenas, para empezar me gustaría resaltar que esta situado en un lugar bastante fácil de encontrar y donde se puede aparcar tranquilamente en la calle (al menos en mayo), esta situado en las afueras de la ciudad en el camino hacia la Alhambra, además para visitar el centro de Granada basta con coger el bus en la parada al lado del hotel, concretamente el nº 33 y en unos 15 minutos ya te encuentras observando la catedral. Con respecto al personal del hotel, comentar que son unas personas amabilísimas en un ambiente muy familiar que se preocupan mucho por el cliente, sin ir mas lejos a nosotros nos solucionaron un problema que habiamos tenido con la visita a la Alhambra. El desayuno muy completo y te pone las pilas para todo el día, también lo recomiendo además te lo sirven ellos mismos nada de buffet. La habitación era grande, limpia, mobiliario relativamente moderno, con una cama de matrimonio cómoda, una pequeña terraza, aire acondicionado y un baño espacioso y limpio. Quizás lo único negativo que se puede decir de este hotel, que por la mañana se escuchaba hablar a la gente y portazos, pero como comentan por ahí eso tiene que ver con la educación de las personas, no es culpa del hotel. Por lo tanto desde mi punto de vista el elegir este hotel al visitar Granada, fue un auténtico acierto. Por cierto económicamente un chollo. Un saludo!!!
"
13;5;"el hotel es exelente en todo sentido, cerca de la Alhambra y autobuses al centro de granada a solo 10 minutos, limpio y acogedor. la atencion de los dueños y el personal fue muy buena y amistosa, no habia una pregunta que no pudieron contestar con paciencia y cariño. viajamos desde Italia y seguiamos a sevilla y encontramos este hotel uno de los mejores y muy barato
"
14;5;"La verdad es que ha sido el hotel de su categoría en el que mejor nos hemos sentido. Nos alojamos en una habitación triple (doble + supletoria) amplísima, con techos de tres metros y un armario empotrado gigante, de suelo a techo. El baño suficientemente amplio y bien alicatado. La zona es muy tranquila y dormimos de maravilla, a lo cual ayudó también la cama. El desayuno es muy copioso y los propietarios, muy amables y serviciales. Incluso tiene WIFI gratuito en todo el hotel. El hotel se encuentra a las afueras de Granada, al inicio de la carretera de la Alhambra, pero no es ningún problema: hay un autobus al centro cada 10 minutos. Nosotros agradecimos estar un poco alejados del bullicio. Para acabar, un detalle: ellos se encargaron de reservarnos las entradas para la Alhambra. Por un error en el proceso de compra, éste se hubo de repetir pero Servicaixa no devolvía los gastos de gestión (4 euros). El hotel, muy amablemente, me los descontó de la factura. Muchas gracias por todo. Volveremos.
"
15;5;"Ubicación:El hotel está ubicado cerca de la Carretera de la Sierra, y de una parada de autobús que lleva al centro de Granada (autobús de la línea 33). En la misma carretera hacia el centro ciudad a 600-700 metros de distancia tenemos algunos restaurantes de horno de leña, y dirección Sierra Nevada, a 3-4 km tiendas de alquiler de skis. Es un hotel fácil de encontrar, y no hay que dar muchas vueltas con el coche, apenas saliendo del tunel a 60km/h y llegar a la rotonda del restaurante Albanta, lo tenemos delante. La calle Radua casi siempre tiene para aparcar (donde está la puerta de entrada a recepción).Precio:El hotel es bastante barato. Una habitación doble vale 36€ iva incluido. El desayuno 3.5€. El parking colectivo 5€, /día. Servicio:A la hora de reservar el hotel por email se me respondía rápidamente, con lo que evita las típicas llamadas y evitamos gastos innecesarios. Reservé 3 días, 11/02,12/02,13/02 gratis por email. La limpieza y el orden es muy bueno. El servicio de limpieza de las habitaciones es bueno, y dejando cosas en la habitación no han desaparecido. No ha hecho falta ""CAJA FUERTE"". Tienen un trato bueno y campechano, ayudando en lo posible a la hora de visitar Granada y las zonas típicas. Tienen una habitación común con mesas, tv, microondas, frigorífico... destinado a los desayunos, pero que puede pedirse al hotel para una cena familiar y no tener que estar en el dormitorio a disgusto, ya que es posible que algunas personas no se permitan cenar en restaurantes siempre.
"
16;4;"Un hotel familiar para quien busque un trato inmejorable y muy detallista por parte de todo el personal, indicaciones y reservas para muchas actividades en Granada, un desayuno correcto y completo (3,5 euros), silencio por la noche, habitaciones de buen tamaño, limpieza impecable y comoda, situado bajo la Alahambra y a diez minutos en bus del centro de Granada. Para quien no quiera desplazarse al centro, hay a cinco minutos en coche una nueva zona de restaurantes y bares de tapeo entre los cuales no hay que perderse el Bar Ecu. Para los que van fundamentalmente a esquiar como ha sido mi caso, el hotel esta situado en la misma carretera de Sierra Nevada, te llevará unos veinte minutos. Yo no le puedo poner ninguna pega al Hotel maxime teniendo en cuenta que la habitacion doble cuesta unos 30 euros. Cada vez que vuelva a Granada esta será mi hotel.
"
17;4;"Calidad precio excelente, muy limpio. Nada más llegar nos explicaron todo sobre Granada y muy amables en todo momento Estuvimos en una habitación con terraza y no había nada de ruido. Hotel perfecto para dejar el coche aparcado y olvidarse de él, muy buenas combinaciones de autobús al centro. Volveríamos sin dudarlo.
"
18;5;"Mi estancia en el hotel Albero ha sido muy agradable, no teníamos nada reservado, y en un momento nos enseñaron parte del 'hotelito', y nos dieron precio, y a elegir habitación. Estaba todo muy limpio, y bastante nuevo. La habitación no es que fuese enorme pero sobraba, y bien acondicionada además de tranquila. Nosotros paramos en Granada para ver la Alhambra, y es ideal, porque se encuentra a un pasito de ella (un par de minutos en coche), y bien conectado con el centro (autobús prácticamente en la puerta, que en 10 minutos te deja en el centro).
"
19;5;"Estuve con mi mujer y mi hija y fue todo estupendo. El dueño nos atendio amablemente , nos indico el autobus que nos lleva a la alhambra que se coje en la misma puerta del hotel. Tambien hay aparcamientos para el coche, que se aparca comodamente y en la misma puerta del hotel. El desayuno con el precio que tenian puesto ,3.50 euros , es estupendo, con ese desayuno cojimos el coche para benidorm y vamos ni paramos a comer nada. Gracias al dueño, y a su hotel, por su amabilidad, humildad. Espero que no cambie.
"
20;5;"Estuvimos una familia (con dos niños) y nos acomodaron en una habitación cuádruple, tal como ya concretamos con anterioridad. En recepción nos ayudaron para movernos por la ciudad y el trato fue amable. Aparcamiento fácil en el exterior. El desayuno es recomendable -barato- puesto que te evitas ir buscando sitios y sobre todo indicar el detalle que tuvieron en hacernos un pequeño descuento en en el del hijo puesto que fue más sencillo. No tenían por qué hacerlo y nos pareció un detalle a destacar. El día de la salida, nos permitieron dejar las maletas hasta la tarde. Otro detalle. No todo va a ser positivo. En el lado de los ""peros"" indicar que la distancia al centro no es despreciable pero está bien comunicado con bus o bien se puede hacer un paseo de unos 25 min (lo hicimos). En síntesis: recomendable y para repetir.
"
21;5;"Nuestra estancia en el Hotel Albero ha consistido en un fin de semana, con la intención de visitar La Alhambra y Granada en general. EL servicio que hemos recibido ha sido muy cercano, y nos han informado de todo lo necesario acerca del transporte público, restaurante adecuado (a nuestro bolsillo...), hasta nos dejaron un abridor de vino, por que no teníamos,... En definitiva, muy limpio, todas las condiciones en perfecto estado, no encontramos ningún inconveniente. Hemos estado en hoteles de más estrellas y no hemos recibido ese trato tan agradable. Relación calidad/precio muy muy recomendable. Si vuelvo, seguro que repito estancia... Eso sí un consejo... para que el GPS os lleve hasta la puerta, os recomiendo que pongais c/ Rauda, que es la calle trasera, por que mi GPS, no reconocía la calle principal. (sólo para el que no tenga actualizado el navegador, como es mi caso). Espero que nuestros consejos.
"
22;5;"Es un hotel muy familiar en el que llama la atención que está situado en la primera planta de varios bloques de viviendas que han comunicado tirando tabiques hasta llegar a conseguir las 18 habitaciones de que disponen. Si se va con vehículo propio es una opción inmejorable, ya que tienes sitio para aparcar en los alrededores y está perfectamente comunicado mediante autobuses urbanos (con el centro de la ciudad el 33 cada 10-15 min y con la alhambra el 13 cada 30 min) ahorrando los problemas de aparcamiento del centro. Y para moverse en coche a otras zonas decir que estás a pocos metros de la entrada a los tuneles de la ronda sur (alhambra - sierra nevada)Trato muy agradable, familiar y personalizado (por lo menos en mi caso)Habitaciones limpias, el único pero sería que se oia la cisterna del piso de arriba, pero eso me ha pasado en todos los sitios donde he estado, hasta en mi casa.
"
23;2;"Me he alojado en este ""hotel"" durante 2 noches, dejándome llevar por su calificación de Traveller's choice 2012 de Tripadvisor. Para empezar, me gustaría precisar que debido a sus instalaciones, no se trata de un hotel convencional, yo lo calificaría más como hostal, ya que ocupa una planta de un edificio de viviendas. Bajo mi punto de vista, el principal punto negativo es la falta de seriedad y de imagen que da el establecimiento. Al parecer, se trata de un negocio familiar, y lo mismo te atiende en recepción la cuñada, cuyos conocimientos de inglés son absolutamente inexistentes a juzgar por cómo intentó dar indicaciones a un matrimonio extranjero, como su hermana con el bebé en brazos -cuyos movimientos en el mostrador limitaba considerablemente-, como el suegro, cuyos conocimientos de inglés no pude valorar pero debido a su edad -y a su capacidad auditiva- no sé hasta qué punto es apropiado que esté al frente de una recepción. Pero lo que más me llamó la atención fue la ""oportuna"" observación del recepcionista de turno (éste ya no sé si sería el sobrino o el yerno) sobre lo tarde que salía de mi habitación, apuntando convenientemente que pensaba que ya no quedaría nadie en el establecimiento a esas horas (eran las 13:00). Como si esto fuera de su incumbencia. Y para más inri, hizo el comentario cuando había más gente en recepción. Respecto de las instalaciones, las habitaciones son de un tamaño ajustado, las camas son algo pequeñas para mi gusto, el armario es pequeño, y no tiene minibar. El baño es pequeño pero suficiente, y el aislamiento acústico es aceptable para unas instalaciones de esta categoría. Como punto a favor, tiene wifi gratis y el precio es razonable. La ubicación está algo alejada del centro, pero es fácil aparcar y está bien comunicado tanto con el centro como con la Alhambra gracias a sendas paradas de autobús a 5 minutos del establecimiento. Además pueden proporcionarte la entrada para la Alhambra.
"
24;4;"No podría pedir más con este hotel. El personal es muy servicial, habitaciones comodas, bien dotadas y sobre todo, muy limpias y acogedoras. Fácil acceso desde la autopista y gratuito aparcamiento en la calle. Los autobuses a la Alhambra y el centro de la ciudad en una parada muy cerca al hotel, WiFi gratis, un precio estupendo.
"
25;5;"Estuvimos en Diciembre mi novia, mis padres y yo en el hotel Albero. AL estancia fue genial. El trato por parte de los dueños fue exquisito, siempre atentos a nuestras necesidades, y ayudándonos a organizarnos los días en Granada. Las habitaciones están muy bien, muy límpias, y con cama cómoda. Los desayunos eran muy ricos, con materiales de primera calidad. La ubicación del hotel es excelente, pq está a 10 minutos en bus del centro (con parada al lado del hotel), a 5 minutos de la Alhambra (tb en bus), y en el camino a Sierra Nevada. Cuando vuelva a Granada, sin duda, repetiré en este hotel.
"
26;5;"Todo Ok, wifi gratis, limpio, buen trato, buenas habitaciones y barato. El desayuno no esta incluido, pero son 3,5€ mas y merece la pena. La única pega es que esta alejado, dependes del autobús urbano para ir al centro y la wifi a veces falla.
"
27;3;"Acabamos de llegar del hotel. La verdad es que nos fuimos con mucho miedo por los comentarios escritos aquí. Nuestra opinion es que es un hotel comodo, tiene piscina buena, animacion excelente, y un personal muy amable. Quizas lo mas tenido en cuenta es el buffet. Es cierto que, no habia mucha variedad de comida, pero lo que habia estaba muy bueno. Las habitaciones eran limpias, comodas y el todo incluido es cierto que habia que hacer un poco de cola pero igual que en otros hoteles!! Nuestra conclusion es que hemos pasado unos dias estupendos por muy poco dinero. El que vaya pensando que por poco dinero le van a dar una suite y un camarero a su servicio es que es tonto. No se puede pedir mas por lo que hemos pagado.
"
28;3;"Las habitaciones bien, aunque las hacen quizá un poco tarde. La limpieza bien; Habrá vasos y platos de plástico por las hamacas de la piscina, pero esto por culpa de algunos guarros que no se molestan en tirarlos a las varias papeleras que hay bien cerca. El servicio de animación está bastante bien; es de 22.30 a medianoche y todos los dias hacen cosas variadas. La piscina también bien en general, hay bastante gente pero al ser grande no está muy masificada. Quizá el único pero sea las comidas-cenas (y no por la calidad de la comida, ya que esta está bien, hay variedad todos los dias y el servicio de camareros es muy eficiente) porque al no haber turnos, la mayoría de la gente se concentra a la misma vez y por eso se forman colas para entrar al comedor. Lo mejor es acudir a comer o cenar a primera hora, así no se encontrará con ninguna fila y se podrá comer más tranquilo. El servicio de todo incluido es verdad que es un poco cutre en el sentido de que las meriendas son simplemente bocadillos pequeños de mortadela, queso, paté o chorizo, también hay nuggets y palitos de pescado, pero eso todos los dias. Y es verdad que en la cafetería hay un solo camarero y hay momentos en los que está un poco desbordado. En general, el hotel bien. Buen precio en relación al servicio. PD: La playa del Toyo es una castaña; hay muchísimas piedras aunque el agua está limpia, eso sí. Y está bien equipada con duchas, etc...
"
29;4;"Comida variada, buenas instalaciones, buen trato del personal y sobre la limpieza si algunos huéspedes no fueran unos...... Todo iría mejor, la habitación me la encontré bien, limpia, ordenada y sin queja. Sobre la comida de todo, carne, pescado y verduras, aunque se reciclaban cosas, no hacen nada que yo no haga en mi casa, no creoque un hotel sea mejor por tirar comida a la basura....... Las piscinas limpias pero muy enfocadas al tturismo famil familiar, poco profundas. Sobre el TI, es cierto que a veces hay que hacer colas nunca estuve más de 5 minutos esperando, cerveza de marca conocida el resto de bebidas marca blanca, bien no tengo queja. Hay que valorar el ratio calidad/precio, bien en este aspecto, repetiré, menos mal que no me fié de las opiniones catastrofistas.
"
30;1;"Cuando llegas la primera impresión no es mala. Tiene un hall bastante amplio y en recepción te atienden bien. A nosotros nos dieron una habitación espaciosa que tiene una enorme terraza y unas vistas estupendas, aunque fue motivo de cachondeo el televisor modelo años 90, de los de culo gordo, en el que se podían ver unos 6 canales. La higiene tampoco es demasiado buena y no tiene minibar. Empiezas a tener conciencia de donde te has metido cuando ves lo concurrida que está la piscina y, sobre todo, al acceder al restaurante con su escasa variedad de platos que componen el buffet y la mediocre calidad de los mismos. En días sucesivos esto se confirma con unos cambios apenas perceptibles e igual se puede aplicar al desayuno y a la cena. Además hay que llegar muy pronto si no quieres tener que hacer cola para todo. Por momentos la masificación resulta insoportable. Por la noche dispones de una terraza donde sentarse para tomar, tras los preceptivos diez minutos de cola, un combinado en vaso de plástico, con ron, whisky o lo que quieras marca ACME. Eso sí debes llegar pronto si no quieres verte obligado a utilizar una hamaca de la piscina. No intentes tomarte algo decente, en vaso de cristal, porque resulta imposible. Todo te lo sirven en vaso de plástico. Da igual el lugar o la hora. Tampoco puedes consumir, ni fuera del todo incluido, algo tan simple como un plato de jamón, unas gambas a la plancha o unos calamares. También destacar un picnic compuesto por una barra de pan, partida en dos mitades, con chóped y queso, una botellita de agua del tiempo y dos piezas de fruta. En general bastante bien el escaso personal con que cuenta este hotel o lo que sea porque creo que lo deberían recalificar y pasar a pensión de tercera. Me pregunto qué van a hacer cuando se les agoten los incautos a los que engañar.
"
31;3;"Hola hace pocos días que he vuelto del hotel, y la verdad que es que hay gente que le gusta quejarse...., porque por lo que se paga en ese hotel quieren uno de 1.000 € / por persona, nosotros hemos estado 1 semana y hemos menos de ese dinero por los 3Recepción buena, la comida también no se repiten para nada cada mediodia y cada noche diferente menú, el bar de la piscina normal siempre están los sandwich, bollitos, pero varían en la fritanga que dicen... ponían tarde sí tarde no churros (pero la gente es por demás y cuando sacaban los churros el 1º que estaba esperando se llevaba todos cuando a lo mejor ni se los comían (eso es avaricia), para mi la limpieza buena, porque los cochinos son la gente que van dejando vasos y cigarros por el suelo cuando tienes bastantes papeleras cerca de las hamacas, las habitaciones amplias con sofá (que se hace cama matrimonio y su mesa) terraza con mesa y sillasPara las comidas y cenas, no he tenido que esperar colas, si va todo el mundo a la misma hora es normal que pase, yo a las 21.00 ya estaba cenando y así luego la nena podía estar en la minidisco, y a la hora de comer pues a las 13.30 no como todos a las 14.30, hay que saber controlar como funciona todoPor las tardes tienes el miniclub que se llevan a los niños y tu te puedes quedar perfectamente descansando en la piscina o tu habitación ya que si hay algún problema o se pone a llorar el niño te llaman por teléfonoLas colas para la bebida se forman por la noche, si no eres muy bebedor ese problema no lo tienes, pero mi marido y yo lo que haciamos era coger 3 bebidas cada uno cada vez que ibamos y estabamos hasta las 00.30 en la terrza (hay gente que no sabe organizarse) sí que es verdad que a partir de las 23.30 no sirven nada, entonces puedes irte al chiringuito que hay al ladoJOSE EL ANIMADOR ¡¡¡¡GENIAL!!!! hace batuka, zumba, aquagym.... y todas las noches hay un ESPECTACTULO DIFERENTE (loros, aves rapaces, juegos con los clientes... etc.) vamos que te ries un rato y pasas un rato agradable)He estado en bastantes hoteles de 4* y todos muy bien, más caros que este y sin todo incluido, excepto en el caribe pero también pagas más. NOSOTROS HEMOS VENIDO MUY CONTENTOS Y LA NENA QUE TIENE 3 AÑOS NO QUERIA IRSE DE ALLÍGRACIAS!!!
"
32;3;"Hola, somos una familia d malaga k stamos pasando el finde aki. En la entrada todo perfecto, pero la hab. Bueno es amplia y bonita pero d limpieza regular. la piscina bien grande. D la animación aún no nos ha dado muxo tiempo, pero me temo k no hay muxo k elegir. La komida x ahora bien, las bebidas todas d makinas, todas!!El personal muy kemado!!La tele sin kanales y stá todo dsierto. Vamos k para dskansar es propio!!UNA VEZ Y NO MAS!!
"
33;3;"El hotel esta bien en general. Lo único es q hay muy poco personal trabajando para tanta afluencia de público. la comida durante mi estancia buena. las colas eran inmensa para todo. con decir q despues de cenar viendo el espectáculo te daba tiempo pedir una copa nada más. la merienda había q coger el truco para pillar algo q no fuera bollito con queso resfregado. no vuelvo a repetir
"
34;1;"Perdonar pero no entiendo como puedo leer opiniones buenas de este hotel, yo he vuelto hace dos semanas y es en el peor hotel en el que he estado. Las colas para las bebidas eran interminables, cuando yo estuve, una noche, casi se pega un camarero con un cliente porque a las 23,30h despues de estar 25 mint haciendo cola para una copa le dijo el camarero :que la barra ya estaba cerrada y que los que faltaban por atender en pocas palabras que se quedaban sin beber. . . y que a el no le pagaban mas por quedarse despues de las 23.30H .Al dia siguiente ese camarero no estaba pero cogieron el metodo de sobre las 23h no dejar que nadie se pusiera en la cola. . . La comida repetitiba, el bar de la piscina pesimo, todo son nuggets, palitos de pescado, papas blandas. . . y si te cuento el pinnik para la playa . . . bocadillos con una o dos rodajas de mortadela otros con queso y otro con chopper y tres botellas de agua con algo de fruta!!! me lo esperaba malo pero no tanto!!!!!!!la habitacion regular, no esta mal . . . Mi marido y yo sacamos una conclusion: Si has viajado lo mas minimo y a los hoteles a los que has ido eran de 4 estrellas e incluso de 3, no te recomiendo este hotel te vas a sentir estafado y como seas exigente te van a dar las vacaciones!!!! y si no has estado nunca en un todo inclluido y no has estado en hoteles de vacaciones puede incluso que te guste, aunque si algun dia vas a otro comprobaras que estuviste en un hotel de mierda!!!ah!! Jose de la animacion se lo curra! pero en un hotel mejor la animacion es mucho mejor y mas rato tanto para niños como adultos.
"
35;1;"Este hotel tiene una bonita fachada lo que sirve para atraer a las personas una vez dentro Te das cuenta el desorden y la mala atención que tiene, tiene solo un comedor que cuando se Llena el hotel hay colas que llegan a resección, la comida es muy repetitiva y muy poca variedad parecía comida de bar de polígono, Los días que estuvimos hacia mucha calor y no ponían ni el aire en el comedor hasta que protestamos, en el bar solo Había una persona atendiendo, faltaba más personal siempre eran las mismas personas de día y de noche, se formaban colas a cada momento, y no podías pedir más de tres copas Por lo que estabas más en la cola que tomándote sentado tu cerveza, no ponen aperitivos para picar Ni unas simples patatas, no dan botellas de agua, el café de maquina lo tienes que pagar, y las bebidas de marcas también, Solo ponen bebidas internacionales, en el chiringuito de la piscina si te ponen aperitivo, mucha fritanga Montaditos con una sola rodaja de chopper o mortadela. Por las noches el espectáculo se acababa después del cierre del bar y te quedabas sin poder tomar nada Porque entre las colas y la inexperiencia de los camareros que por cierto ¡¡¡¡ eran de escuelas hay que [---]!!!! Lo mejor la animación saludos a José, de los tíos de Lorena la sirena. En definitiva no recomiendo este hotel que aunque tenga 4 estrella no llega ni a 2.
"
